receipt_id,tier,directness,outcome_class,effect_direction,n_claims
PMC4996648_transient_rapamycin_treatment_can_increase_lifespan_and_heal,C1,mechanistic,contextual_other,positive,296
PMC12074816_influence_of_rapamycin_on_safety_and_healthspan_metrics_afte,A1,direct,safety_comorbidity,mixed,206
PMC12270913_the_geroprotectors_trametinib_and_rapamycin_combine_additive,C1,mechanistic,contextual_other,positive,155
PMC10195938_effect_of_mtor_inhibitors_in_epilepsy_treatment_in_children_,B2,indirect,cardiometabolic,unclear,142
PMC10086534_age_related_changes_to_adipose_tissue_and_peripheral_neuropa,C1,mechanistic,contextual_other,unclear,123
PMC12397450_the_bioavailability_and_blood_levels_of_low_dose_rapamycin_f,B2,indirect,dosing_pharmacokinetics,negative,120
PMC5506398_short_term_rapamycin_treatment_increases_ovarian_lifespan_in,C1,mechanistic,contextual_other,unclear,107
PMC4433347_health_effects_of_long_term_rapamycin_treatment_the_impact_o,C1,mechanistic,contextual_other,negative,106
PMC5242306_dietary_rapamycin_supplementation_reverses_age_related_vascu,B2,indirect,dosing_pharmacokinetics,mixed,99
PMC9018781_distinct_and_additive_effects_of_calorie_restriction_and_rap,B2,indirect,cardiometabolic,unclear,82
PMC4093196_rapamycin_rescues_the_poor_developmental_capacity_of_aged_po,B2,indirect,contextual_other,unclear,80
PMC3824413_rapamycin_suppresses_brain_aging_in_senescence_accelerated_o,C1,mechanistic,contextual_other,null,77
PMC13082878_exercise_and_weekly_sirolimus_rapamycin_in_older_adults_rapa,A1,direct,contextual_other,null,71
PMC4683033_sirolimus_use_in_liver_transplant_recipients_with_hepatocell,B2,indirect,contextual_other,negative,64
PMC13096638_sirolimus_plus_roxadustat_synergistically_enhances_immunosup,B2,indirect,contextual_other,null,63
PMC4599244_histone_modifications_change_with_age_dietary_restriction_an,C1,mechanistic,contextual_other,unclear,60
PMC12794675_rapamycin_exerts_its_geroprotective_effects_in_the_ageing_hu,B2,indirect,immune,unclear,58
PMC4531069_subacute_calorie_restriction_and_rapamycin_discordantly_alte,C1,mechanistic,contextual_other,null,58
PMC7220376_rapamycin_rejuvenates_oral_health_in_aging_mice,C1,mechanistic,contextual_other,unclear,53
PMC6996961_rapamycin_persistently_improves_cardiac_function_in_aged_mal,C1,mechanistic,contextual_other,mixed,49
