receipt_id,tier,directness,outcome_class,effect_direction,n_claims
PMC12827324_comparative_effects_of_intermittent_fasting_and_calorie_rest,B2,indirect,cardiometabolic,positive,449
PMC12195750_effects_of_intermittent_fasting_and_calorie_restriction_on_e,B1,review,muscle_function,mixed,386
PMC11670075_quantitative_analysis_of_the_caloric_restriction_versus_isoc,B2,indirect,contextual_other,unclear,246
PMC12956928_effect_of_protein_supplementation_on_hip_bone_mineral_densit,A2,indirect,muscle_function,null,226
PMC8551193_daily_caloric_restriction_limits_tumor_growth_more_effective,B2,indirect,contextual_other,unclear,226
PMC12309031_comparing_the_influence_of_early_and_late_time_restricted_ea,B2,review,cardiometabolic,null,221
PMC10494137_metabolic_impact_of_intermittent_energy_restriction_and_peri,B1,review,contextual_other,null,194
PMC9941245_body_shape_perception_in_men_and_women_without_obesity_durin,B2,indirect,contextual_other,unclear,194
PMC6824325_effect_of_weight_loss_via_severe_vs_moderate_energy_restrict,B2,indirect,contextual_other,mixed,192
PMC3511220_intermittent_fasting_combined_with_calorie_restriction_is_ef,B2,indirect,contextual_other,mixed,174
PMC8152778_iron_beats_electricity_resistance_training_but_not_whole_bod,A1,direct,cardiometabolic,negative,169
PMC11133430_gut_microbiome_remodeling_and_metabolomic_profile_improves_i,B2,indirect,contextual_other,null,154
PMC12365256_effect_of_caloric_restriction_on_organ_size_and_its_contribu,B2,indirect,contextual_other,null,150
PMC10708501_effectiveness_of_time_restricted_eating_with_caloric_restric,B1,review,contextual_other,mixed,139
PMC8741476_calorie_restriction_improves_lipid_related_emerging_cardiome,A1,direct,contextual_other,mixed,134
PMC3514278_improvement_in_coronary_heart_disease_risk_factors_during_an,B2,indirect,contextual_other,null,129
PMC10659943_the_effects_of_short_term_caloric_restriction_on_cardiometab,B2,indirect,cardiometabolic,mixed,122
PMC10210464_the_effect_of_dietary_carbohydrate_and_calorie_restriction_o,B2,indirect,contextual_other,negative,121
PMC10204925_intermittent_energy_restriction_vs_continuous_energy_restric,B2,review,contextual_other,null,118
PMC8233264_caloric_restriction_induces_anabolic_resistance_to_resistanc,B2,indirect,immune,mixed,116
PMC13029005_adherence_and_metabolic_outcomes_of_early_and_late_time_rest,B2,indirect,contextual_other,null,107
PMC9070937_estimating_heterogeneity_of_physical_function_treatment_resp,B2,indirect,frailty,mixed,105
PMC10599060_does_dietary_nitrate_boost_the_effects_of_caloric_restrictio,B2,indirect,contextual_other,null,102
PMC2634841_metabolic_and_behavioral_compensations_in_response_to_calori,B2,indirect,contextual_other,unclear,102
PMC11926029_isolating_the_acute_metabolic_effects_of_carbohydrate_restri,B2,indirect,contextual_other,null,92
PMC9678932_differential_effects_of_intermittent_energy_restriction_vs_c,B2,review,contextual_other,negative,92
PMC10726801_diet_composition_adherence_to_calorie_restriction_and_cardio,B2,indirect,contextual_other,mixed,91
PMC9230116_overweight_management_through_mild_caloric_restriction_in_mu,B2,indirect,contextual_other,positive,91
PMC12672340_effects_of_time_restricted_eating_without_caloric_restrictio,B1,review,cardiometabolic,positive,90
PMC9962072_caloric_restriction_cr_plus_high_nitrate_beetroot_juice_does,A1,direct,contextual_other,mixed,88
PMC4993339_long_term_moderate_calorie_restriction_inhibits_inflammation,B2,indirect,immune_inflammation,mixed,87
PMC9012799_lean_mass_sparing_in_resistance_trained_athletes_during_calo,B2,indirect,muscle_function,unclear,85
PMC12505589_association_between_physical_activity_energy_expenditure_and,B2,indirect,cardiometabolic,mixed,84
PMC8467906_effects_of_caloric_restriction_and_rope_skipping_exercise_on,A1,direct,cardiometabolic,unclear,82
PMC9265557_effects_of_intermittent_energy_restriction_alone_and_in_comb,B2,indirect,cardiometabolic,negative,81
PMC9735516_plasma_fgf21_levels_are_not_associated_with_weight_loss_or_i,B2,indirect,cardiometabolic,null,81
PMC5607294_effect_of_caloric_restriction_on_gut_permeability_inflammati,B2,indirect,immune_inflammation,unclear,80
PMC12386805_a_pilot_randomized_control_trial_evaluating_the_feasibility_,A1,direct,contextual_other,null,79
